Jnt_1,Jnt_2,Jnt_3,Jnt_4,Jnt_5,Jnt_6,Robot_ID,Gripper_status,DO1,DO2,DO3,DO4,Bypass_active?,Chng_Rbots,X,Y,Z,Q_X,Q_Y,Q_Z,Q_W,Mouse_pos_X,Mouse_pos_Y,Screen_mode,Button_active
92.59441,-99.1692,126.1543,55.92563,20.16074,-172.4532,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.8, 0.0, -0.6,1151.557,1029.481,portrait,
92.59441,-99.1692,126.1543,55.92563,20.16074,-172.4532,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.8, 0.0, -0.6,1148.789,1090.381,portrait,
92.59441,-99.1692,126.1543,55.92563,20.16074,-172.4532,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.8, 0.0, -0.6,1132.18,1093.149,portrait,Slider5
93.61356,-99.47681,125.0368,57.0768,26.23256,-171.8023,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.9, 0.0, -0.5,1129.412,650.2422,portrait,Slider5
97.10284,-99.61325,122.0893,59.42826,41.50321,-169.2457,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 0.9, 0.0, -0.4,1137.716,174.1177,portrait,Slider5
101.5778,-98.75638,119.256,61.79094,56.7827,-166.1195,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, -0.3,1118.339,-407.1971,portrait,Slider5
106.5275,-96.99744,116.8235,64.57942,71.81309,-162.5763,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, -0.2,1107.266,-592.6642,portrait,Slider5
111.143,-94.70219,115.1204,67.77427,85.3373,-158.7834,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1079.585,-803.0449,portrait,Slider5
112.0981,-94.14548,114.8441,68.54868,88.14691,-157.8897,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1076.817,-805.813,portrait,Slider5
111.4632,-94.51883,115.0245,68.02859,86.27773,-158.4891,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1076.817,-783.6677,portrait,Slider5
111.4632,-94.51883,115.0245,68.02859,86.27773,-158.4891,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1046.367,259.9308,portrait,
111.4632,-94.51883,115.0245,68.02859,86.27773,-158.4891,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,891.3495,1375.502,portrait,
111.4632,-94.51883,115.0245,68.02859,86.27773,-158.4891,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1068.512,760.9689,portrait,
111.4632,-94.51883,115.0245,68.02859,86.27773,-158.4891,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1173.702,938.1315,portrait,
111.4632,-94.51883,115.0245,68.02859,86.27773,-158.4891,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1159.862,938.1315,portrait,
112.0981,-94.14548,114.8441,68.54868,88.14691,-157.8897,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1157.093,918.7543,portrait,Slider5
112.4125,-93.95561,114.7597,68.81454,89.07547,-157.5844,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1157.093,918.7543,portrait,
112.4125,-93.95561,114.7597,68.81454,89.07547,-157.5844,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1157.093,918.7543,portrait,
112.4125,-93.95561,114.7597,68.81454,89.07547,-157.5844,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1157.093,918.7543,portrait,
112.4125,-93.95561,114.7597,68.81454,89.07547,-157.5844,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1157.093,918.7543,portrait,
112.4125,-93.95561,114.7597,68.81454,89.07547,-157.5844,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.0, 1.0, 0.0, 0.0,1107.266,799.7231,portrait,
112.4025,-93.93465,114.7617,68.87384,89.04572,-162.595,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.1, -1.0, 0.0, 0.0,949.481,796.955,portrait,Slider5
112.3885,-93.87943,114.7638,69.02171,89.00436,-174.6107,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.2, -1.0, 0.0, 0.0,741.8685,796.955,portrait,Slider5
112.3917,-93.80379,114.7614,69.20929,89.01396,170.3902,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.3, -1.0, 0.0, 0.0,249.135,796.955,portrait,Slider5
112.4176,-93.72567,114.7536,69.38808,89.09061,155.4143,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.4, -0.9, 0.0, 0.0,-1134.948,866.1592,portrait,Slider5
112.4644,-93.65034,114.741,69.54599,89.22874,140.46,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.5, -0.9, 0.0, 0.0,-1530.796,863.391,portrait,Slider5
112.5192,-93.59121,114.7267,69.65775,89.39097,127.5149,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.6, -0.8, 0.0, 0.0,-1732.872,866.1592,portrait,Slider5
112.5844,-93.54092,114.7101,69.74026,89.58395,114.581,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,-1874.048,868.9273,portrait,Slider5
112.5844,-93.54092,114.7101,69.74026,89.58395,114.581,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,-1868.512,868.9273,portrait,
112.5738,-93.54797,114.7128,69.72964,89.55265,116.5702,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,-1862.976,868.9273,portrait,Slider5
112.5844,-93.54092,114.7101,69.74026,89.58395,114.581,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,-1882.353,868.9273,portrait,Slider5
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,-1882.353,868.9273,portrait,Slider5
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,-1882.353,880,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,58.13152,816.3322,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,1013.149,669.6194,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,1184.775,223.9447,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,0,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,1187.543,221.1765,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,1184.775,279.308,portrait,Open/Close Gripper
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,589.6194,2360.969,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,437.3703,2538.131,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,406.9204,2493.841,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,406.9204,2493.841,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,406.9204,2493.841,portrait,Enable or Disable Main Menu Button
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,445.6748,1929.135,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,429.0658,1760.277,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,382.007,1992.803,portrait,Switch orbit to axis mode
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,379.2388,2288.996,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,376.4706,1868.235,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,357.0935,1613.564,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,357.0935,1635.709,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,357.0935,1688.304,portrait,Switch orbit to axis mode
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,393.0796,2203.183,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,395.8478,2291.765,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,395.8478,2416.332,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,395.8478,2424.636,portrait,
112.5952,-93.53412,114.7074,69.75006,89.61581,112.592,0,1,0,1,1,1,0,0,1.8, 2.9, 1.9,0.7, -0.7, 0.0, 0.0,395.8478,2424.636,portrait,
